Index	Country	Year	Rates
1	AUS	2019	"1,44"
2	AUS	2020	"1,45"
3	AUS	2021	"1,33"
4	AUS	2022	"1,44"
5	CAN	2019	"1,33"
6	CAN	2020	"1,34"
7	CAN	2021	"1,25"
8	CAN	2022	"1,3"
9	CZE	2019	"22,93"
10	CZE	2020	"23,21"
11	CZE	2021	"21,68"
12	CZE	2022	"23,36"
13	FIN	2019	"0,89"
14	FIN	2020	"0,88"
15	FIN	2021	"0,85"
16	FIN	2022	"0,95"
17	DEU	2019	"0,89"
18	DEU	2020	"0,88"
19	DEU	2021	"0,85"
20	DEU	2022	"0,95"
21	IRL	2019	"0,89"
22	IRL	2020	"0,88"
23	IRL	2021	"0,85"
24	IRL	2022	"0,95"
25	JPN	2019	"109,01"
26	JPN	2020	"106,77"
27	JPN	2021	"109,75"
28	JPN	2022	"131,5"
29	MEX	2019	"19,26"
30	MEX	2020	"21,49"
31	MEX	2021	"20,27"
32	MEX	2022	"20,13"
33	NZL	2019	"1,52"
34	NZL	2020	"1,54"
35	NZL	2021	"1,41"
36	NZL	2022	"1,58"
37	NOR	2019	"8,8"
38	NOR	2020	"9,42"
39	NOR	2021	"8,59"
40	NOR	2022	"9,61"
41	SVK	2019	"0,89"
42	SVK	2020	"0,88"
43	SVK	2021	"0,85"
44	SVK	2022	"0,95"
45	SWE	2019	"9,46"
46	SWE	2020	"9,21"
47	SWE	2021	"8,58"
48	SWE	2022	"10,11"
49	CHE	2019	"0,99"
50	CHE	2020	"0,94"
51	CHE	2021	"0,91"
52	CHE	2022	"0,95"
53	TUR	2019	"5,67"
54	TUR	2020	"7,01"
55	TUR	2021	"8,85"
56	GBR	2019	"0,78"
57	GBR	2020	"0,78"
58	GBR	2021	"0,73"
59	GBR	2022	"0,81"
60	CHN	2019	"6,91"
61	CHN	2020	"6,9"
62	CHN	2021	"6,45"
63	CHN	2022	"6,74"
64	EST	2019	"0,89"
65	EST	2020	"0,88"
66	EST	2021	"0,85"
67	EST	2022	"0,95"
68	IND	2019	"70,42"
69	IND	2020	"74,1"
70	IND	2021	"73,92"
71	IND	2022	"78,6"
72	ISR	2019	"3,56"
73	ISR	2020	"3,44"
74	ISR	2021	"3,23"
75	ISR	2022	"3,36"
76	RUS	2019	"64,74"
77	RUS	2020	"72,1"
78	RUS	2021	"73,65"
79	ZAF	2019	"14,45"
80	ZAF	2020	"16,46"
81	ZAF	2021	"14,78"
82	ZAF	2022	"16,36"
83	LVA	2019	"0,89"
84	LVA	2020	"0,88"
85	LVA	2021	"0,85"
86	LVA	2022	"0,95"
87	LTU	2019	"0,89"
88	LTU	2020	"0,88"
89	LTU	2021	"0,85"
90	LTU	2022	"0,95"
91	SAU	2019	"3,75"
92	SAU	2020	"3,75"
93	SAU	2021	"3,75"
94	SAU	2022	"3,75"
95	EA19	2019	"0,89"
96	EA19	2020	"0,88"
97	EA19	2021	"0,85"
98	EA19	2022	"0,95"
99	CRI	2019	"587,29"
100	CRI	2020	"584,9"
101	CRI	2021	"620,78"
102	CRI	2022	"647,14"
103	BGR	2019	"1,75"
104	BGR	2020	"1,72"
105	BGR	2021	"1,65"
106	BGR	2022	"1,86"
107	HRV	2019	"6,62"
108	HRV	2020	"6,61"
109	HRV	2021	"6,36"
110	HRV	2022	"0,95"
111	CYP	2019	"0,89"
112	CYP	2020	"0,88"
113	CYP	2021	"0,85"
114	CYP	2022	"0,95"
115	MLT	2019	"0,89"
116	MLT	2020	"0,88"
117	MLT	2021	"0,85"
118	MLT	2022	"0,95"
119	MKD	2019	"54,95"
120	MKD	2020	"54,14"
121	MKD	2021	"52,1"
122	MKD	2022	"58,57"
123	MDG	2019	"3618,32"
124	MDG	2020	"3787,75"
125	MDG	2021	"3829,98"
126	MDG	2022	"4096,12"
127	MAR	2019	"9,62"
128	MAR	2020	"9,5"
129	MAR	2021	"8,99"
130	MAR	2022	"10,16"
131	ZMB	2019	"12,89"
132	ZMB	2020	"18,34"
133	ZMB	2021	"20,02"
134	ZMB	2022	"16,96"
135	HKG	2019	"7,84"
136	HKG	2020	"7,76"
137	HKG	2021	"7,77"
138	HKG	2022	"7,83"
139	EU27_2020	2019	"0,89"
140	EU27_2020	2020	"0,88"
141	EU27_2020	2021	"0,85"
142	EU27_2020	2022	"0,95"
143	GEO	2019	"2,82"
144	GEO	2020	"3,11"
145	GEO	2021	"3,22"
146	GEO	2022	"2,92"
147	CMR	2019	"585,91"
148	CMR	2020	"575,59"
149	CMR	2021	"554,53"
150	CMR	2022	"623,76"
151	SEN	2019	"585,91"
152	SEN	2020	"575,59"
153	SEN	2021	"554,53"
154	SEN	2022	"623,76"
